SMA  INTENSITY  INTENSITY_ERROR  ELLIP   ELLIP_ERROR  PA  PA_ERROR
      163.000      3.56817     0.162752     0.573010  1.60000e+38     -86.1804  1.60000e+38
      165.000      3.33850     0.169762     0.573010  1.60000e+38     -86.1804  1.60000e+38
      167.000      2.98792     0.168323     0.573010  1.60000e+38     -86.1804  1.60000e+38
      169.000      2.79049     0.160823     0.573010  1.60000e+38     -86.1804  1.60000e+38
      171.000      3.24471     0.165028     0.573010  1.60000e+38     -86.1804  1.60000e+38
      173.000      3.20712     0.164891     0.573010  1.60000e+38     -86.1804  1.60000e+38
      175.000      2.99303     0.175838     0.573010  1.60000e+38     -86.1804  1.60000e+38
      177.000      2.74759     0.175320     0.573010  1.60000e+38     -86.1804  1.60000e+38
      179.000      2.64273     0.155516     0.573010  1.60000e+38     -86.1804  1.60000e+38
      181.000      2.55719     0.154673     0.573010  1.60000e+38     -86.1804  1.60000e+38
      183.000      2.63093     0.163322     0.573010  1.60000e+38     -86.1804  1.60000e+38
      185.000      2.47331     0.154977     0.573010  1.60000e+38     -86.1804  1.60000e+38
      187.000      2.79778     0.162676     0.573010  1.60000e+38     -86.1804  1.60000e+38
      189.000      2.99668     0.152519     0.573010  1.60000e+38     -86.1804  1.60000e+38
      191.000      2.90608     0.169457     0.573010  1.60000e+38     -86.1804  1.60000e+38
      193.000      2.34882     0.166869     0.573010  1.60000e+38     -86.1804  1.60000e+38
      195.000      2.21215     0.167784     0.573010  1.60000e+38     -86.1804  1.60000e+38
      197.000      2.48946     0.157470     0.573010  1.60000e+38     -86.1804  1.60000e+38
      199.000      2.47677     0.165014     0.573010  1.60000e+38     -86.1804  1.60000e+38
      201.000      2.71982     0.163120     0.573010  1.60000e+38     -86.1804  1.60000e+38
      203.000      2.82680     0.151488     0.573010  1.60000e+38     -86.1804  1.60000e+38
      205.000      2.41159     0.163323     0.573010  1.60000e+38     -86.1804  1.60000e+38
      207.000      2.38087     0.155642     0.573010  1.60000e+38     -86.1804  1.60000e+38
      209.000      2.19611     0.153033     0.573010  1.60000e+38     -86.1804  1.60000e+38
      211.000      2.43430     0.157880     0.573010  1.60000e+38     -86.1804  1.60000e+38
      213.000      2.49474     0.151194     0.573010  1.60000e+38     -86.1804  1.60000e+38
      215.000      2.25684     0.156843     0.573010  1.60000e+38     -86.1804  1.60000e+38
      217.000      2.01281     0.149423     0.573010  1.60000e+38     -86.1804  1.60000e+38
      219.000      2.08136     0.144250     0.573010  1.60000e+38     -86.1804  1.60000e+38
      221.000      2.14219     0.147413     0.573010  1.60000e+38     -86.1804  1.60000e+38
      223.000      2.51022     0.147855     0.573010  1.60000e+38     -86.1804  1.60000e+38
      225.000      2.23040     0.159499     0.573010  1.60000e+38     -86.1804  1.60000e+38
      227.000      2.34924     0.149104     0.573010  1.60000e+38     -86.1804  1.60000e+38
      229.000      2.17378     0.148832     0.573010  1.60000e+38     -86.1804  1.60000e+38
      231.000      2.16589     0.148430     0.573010  1.60000e+38     -86.1804  1.60000e+38
      233.000      2.32234     0.155027     0.573010  1.60000e+38     -86.1804  1.60000e+38
      235.000      2.30191     0.141073     0.573010  1.60000e+38     -86.1804  1.60000e+38
      237.000      2.17443     0.148550     0.573010  1.60000e+38     -86.1804  1.60000e+38
      239.000      2.16021     0.145877     0.573010  1.60000e+38     -86.1804  1.60000e+38
      241.000      1.92411     0.147772     0.573010  1.60000e+38     -86.1804  1.60000e+38
      243.000      2.38456     0.149097     0.573010  1.60000e+38     -86.1804  1.60000e+38
      245.000      2.39792     0.147043     0.573010  1.60000e+38     -86.1804  1.60000e+38
      247.000      2.14591     0.138226     0.573010  1.60000e+38     -86.1804  1.60000e+38
      249.000      2.15018     0.147627     0.573010  1.60000e+38     -86.1804  1.60000e+38
      251.000      2.22030     0.138361     0.573010  1.60000e+38     -86.1804  1.60000e+38
      253.000      1.97994     0.145049     0.573010  1.60000e+38     -86.1804  1.60000e+38
      255.000      2.20691     0.142508     0.573010  1.60000e+38     -86.1804  1.60000e+38
      257.000      2.34265     0.136337     0.573010  1.60000e+38     -86.1804  1.60000e+38
      259.000      2.51877     0.140955     0.573010  1.60000e+38     -86.1804  1.60000e+38
      261.000      2.20522     0.143438     0.573010  1.60000e+38     -86.1804  1.60000e+38
      263.000      2.28721     0.143219     0.573010  1.60000e+38     -86.1804  1.60000e+38
      265.000      2.33453     0.141259     0.573010  1.60000e+38     -86.1804  1.60000e+38
      267.000      2.24197     0.140419     0.573010  1.60000e+38     -86.1804  1.60000e+38
      269.000      2.10236     0.131691     0.573010  1.60000e+38     -86.1804  1.60000e+38
      271.000      1.95698     0.133251     0.573010  1.60000e+38     -86.1804  1.60000e+38
      273.000      2.21389     0.139777     0.573010  1.60000e+38     -86.1804  1.60000e+38
      275.000      1.98809     0.140225     0.573010  1.60000e+38     -86.1804  1.60000e+38
      277.000      2.24155     0.142225     0.573010  1.60000e+38     -86.1804  1.60000e+38
